idx,steps,episodes,reward,time,agent0_reward,agent1_reward,agent2_reward,agent3_reward,agent4_reward,agent5_reward
867,512120,8680,-6.386,22.642,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06
868,512710,8690,-6.366,22.704,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06
869,513300,8700,-6.714,22.673,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12
870,513890,8710,-8.117,22.72,-1.35,-1.35,-1.35,-1.35,-1.35,-1.35
871,514480,8720,-6.828,22.782,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14
872,515070,8730,-6.629,22.751,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1
873,515660,8740,-6.645,22.767,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11
874,516250,8750,-6.49,22.751,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
875,516840,8760,-6.82,22.798,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14
876,517430,8770,-7.64,22.657,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27
877,518020,8780,-6.726,22.688,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12
878,518610,8790,-6.779,22.767,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13
879,519200,8800,-6.296,22.813,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05
880,519790,8810,-6.419,22.657,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07
881,520380,8820,-7.605,22.641,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27
882,520970,8830,-7.35,22.657,-1.23,-1.23,-1.23,-1.23,-1.23,-1.23
883,521560,8840,-6.507,22.704,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
884,522150,8850,-6.353,22.72,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06
885,522740,8860,-6.496,22.72,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
886,523330,8870,-6.948,22.688,-1.16,-1.16,-1.16,-1.16,-1.16,-1.16
887,523920,8880,-7.517,22.626,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
888,524510,8890,-6.464,22.642,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
889,525100,8900,-6.593,23.157,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1
890,525690,8910,-6.576,22.751,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1
891,526280,8920,-6.398,24.751,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07
892,526870,8930,-6.91,25.954,-1.15,-1.15,-1.15,-1.15,-1.15,-1.15
893,527460,8940,-7.844,28.079,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31
894,528050,8950,-6.687,28.564,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11
895,528640,8960,-6.561,22.657,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09
896,529230,8970,-6.505,22.595,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
897,529820,8980,-6.69,22.657,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11
898,530410,8990,-7.978,22.642,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33
899,531000,9000,-6.759,22.642,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13
900,531590,9010,-6.465,22.61,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
901,532180,9020,-6.623,22.595,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1
902,532770,9030,-6.467,22.563,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
903,533360,9040,-6.79,22.579,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13
904,533950,9050,-7.387,22.563,-1.23,-1.23,-1.23,-1.23,-1.23,-1.23
905,534540,9060,-6.711,22.61,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12
906,535130,9070,-6.666,23.11,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11
907,535720,9080,-6.35,22.626,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06
908,536310,9090,-6.389,22.626,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06
909,536900,9100,-7.625,22.61,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27
910,537490,9110,-7.135,22.642,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19
911,538080,9120,-6.671,22.563,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11
912,538670,9130,-6.542,22.548,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09
913,539260,9140,-6.295,22.548,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05
914,539850,9150,-6.934,22.532,-1.16,-1.16,-1.16,-1.16,-1.16,-1.16
915,540440,9160,-7.309,22.563,-1.22,-1.22,-1.22,-1.22,-1.22,-1.22
916,541030,9170,-6.652,22.644,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11
917,541620,9180,-6.739,22.657,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12
918,542210,9190,-6.569,22.673,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09
919,542800,9200,-6.37,22.61,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06
920,543390,9210,-6.895,22.579,-1.15,-1.15,-1.15,-1.15,-1.15,-1.15
921,543980,9220,-7.538,22.579,-1.26,-1.26,-1.26,-1.26,-1.26,-1.26
922,544570,9230,-6.671,22.583,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11
923,545160,9240,-6.475,22.595,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
924,545750,9250,-6.442,22.595,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07
925,546340,9260,-6.538,22.626,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09
926,546930,9270,-7.922,22.61,-1.32,-1.32,-1.32,-1.32,-1.32,-1.32
927,547520,9280,-6.541,22.657,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09
928,548110,9290,-6.61,22.689,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1
929,548700,9300,-6.733,22.704,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12
930,549290,9310,-6.403,22.845,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07
931,549880,9320,-6.822,22.706,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14
