ensemble_name,sample_key,ensemble_id,acure_bl_nuc,acure_ait_width,acure_cloud_ph,acure_carb_ff_ems,acure_carb_ff_ems_eur,acure_carb_ff_ems_nam,acure_carb_ff_ems_chi,acure_carb_ff_ems_asi,acure_carb_ff_ems_mar,acure_carb_ff_ems_r,acure_carb_bb_ems,acure_carb_bb_ems_sam,acure_carb_bb_ems_naf,acure_carb_bb_ems_saf,acure_carb_bb_ems_bnh,acure_carb_bb_ems_rnh,acure_carb_bb_ems_rsh,acure_carb_res_ems,acure_carb_res_ems_chi,acure_carb_res_ems_asi,acure_carb_res_ems_afr,acure_carb_res_ems_lat,acure_carb_res_ems_r,acure_carb_ff_diam,acure_carb_bb_diam,acure_carb_res_diam,acure_prim_so4_diam,acure_sea_spray,acure_anth_so2,acure_anth_so2_chi,acure_anth_so2_asi,acure_anth_so2_eur,acure_anth_so2_nam,acure_anth_so2_r,acure_volc_so2,acure_bvoc_soa,acure_dms,acure_prim_moc,acure_dry_dep_ait,acure_dry_dep_acc,acure_dry_dep_so2,acure_kappa_oc,acure_sig_w,acure_rain_frac,acure_cloud_ice_thresh,acure_convective_plume_scavenging,acure_scav_diam,acure_bc_ri,acure_oxidants_oh,acure_oxidants_o3,bparam,two_d_fsd_factor,c_r_correl,acure_autoconv_exp_lwp,acure_autoconv_exp_nd,dbsdtbs_turb_0,ai,m_ci,a_ent_1_rp,acure_pcalc_index
acure_aircraft,u-bs714_ens,1,0.969887592,0.083081473,0.478473679,1,0.577525476,0.231614821,0.283144817,0.050177825,0.419984352,0.914345911,1,0.716751869,0.437475449,0.398710883,0.045774805,0.593635537,0.975775552,1,0.184959714,0.005871954,0.98698883,0.189957881,0.955635203,0.4771478,0.690581085,0.255840683,0.516864447,0.989836761,1,0.7174753,0.180696493,0.03466505,0.327155217,0.232632406,0.10473585,0.763282867,0.415899558,0.846613292,0.031372427,0.618558773,0.942199242,0.857839112,0.299392421,0.589830796,0.932973106,0.093402781,0.906409512,0.244754948,0.043591375,0.017103552,0.927093192,0.833904789,0.610920341,0.993935277,0.755788467,0.7741867,0.960910536,0.988951537,0.508725239,10
acure_aircraft,u-bs714_ens,1,0.296399946,0.219044096,0.762348194,1,0.542218999,0.264116781,0.149973365,0.636196598,0.949946346,0.340759664,1,0.009431448,0.481302881,0.875969757,0.944959595,0.995093572,0.025250079,1,0.984580341,0.002769328,0.182056798,0.618898086,0.012610429,0.952454231,0.829883564,0.607975355,0.837537416,0.015955759,1,0.783367691,0.377607149,0.947535433,0.28707777,0.943032177,0.336102961,0.239756467,0.343310709,0.274399725,0.31998497,0.021131885,0.24475818,0.268120356,0.012906746,0.341703258,0.239793725,0.920850713,0.842185052,0.402889558,0.186045408,0.100592927,0.642221793,0.312790266,0.993287348,0.433777384,0.946383077,0.936450375,0.749263186,0.495659483,0.708040248,11
acure_aircraft,u-bs714_ens,1,0.034464084,0.795578924,0.992004001,1,0.018048264,0.096908369,0.62700646,0.441051139,0.261199435,0.181607145,1,0.052221176,0.114017787,0.663870066,0.328741526,0.566033913,0.831480327,1,0.459078462,0.100632319,0.897529477,0.009242373,0.609425397,0.405119558,0.317027885,0.005518968,0.375884031,0.103974796,1,0.998699844,0.968933463,0.319647658,0.293506051,0.00408114,0.983309583,0.285598279,0.803336017,0.078279745,0.880248674,0.437546795,0.7669837,0.790953916,0.871007979,0.404560285,0.380523731,0.596027761,0.955923077,0.698254963,0.017764441,0.752962332,0.179887122,0.927141257,0.756027351,0.047201722,0.438458033,0.020615445,0.744030444,0.295346,0.932618847,12
acure_aircraft,u-bs714_ens,1,0.122996798,0.399297996,0.068344434,1,0.211657504,0.493115767,0.203817455,0.949908239,0.074322308,0.424137291,1,0.277730661,0.663893209,0.83684374,0.807741035,0.080161906,0.860153107,1,0.960893295,0.907314629,0.120115066,0.178146821,0.816672593,0.892038763,0.806713247,0.856710994,0.579352111,0.076883794,1,0.366090365,0.125005799,0.480193115,0.578288488,0.719311592,0.994249751,0.951651656,0.720767538,0.661527184,0.305413397,0.383878315,0.409197019,0.844852108,0.993858329,0.279978966,0.231021005,0.090630287,0.074367065,0.123165471,0.145905881,0.84685654,0.932566103,0.936019841,0.003151242,0.451732007,0.81329423,0.63005494,0.690606853,0.821329501,0.351440153,13
acure_aircraft,u-bs714_ens,1,0.544591442,0.507067158,0.996490541,1,0.993146352,0.820254795,0.142460871,0.165629258,0.859367837,0.685847802,1,0.083934599,0.882149672,0.955201998,0.025348805,0.405438168,0.364413075,1,0.094579507,0.481287911,0.637689659,0.060626568,0.802365266,0.782603457,0.359928434,0.678752747,0.197374734,0.71897671,1,0.738688585,0.012851986,0.821059936,0.995507238,0.870669597,0.895961914,0.687968094,0.966012205,0.719364755,0.243907644,0.665478222,0.664753714,0.011345455,0.034976025,0.927991524,0.117034804,0.15891835,0.882913332,0.782679288,0.721658992,0.812720491,0.389157228,0.861130237,0.260397102,0.084107236,0.7379189,0.111528053,0.189580037,0.335302352,0.702038836,14
acure_aircraft,u-bs714_ens,1,0.954623511,0.550812046,0.227972212,1,0.846793233,0.130619815,0.208718263,0.794443398,0.841250449,0.776274972,1,0.850913489,0.092684332,0.032492211,0.072249391,0.330368536,0.757684062,1,0.89494086,0.997028661,0.320756222,0.532904116,0.859850884,0.834160157,0.619290091,0.394469242,0.567764743,0.239329343,1,0.181367392,0.668137987,0.147176244,0.419532079,0.208431997,0.750658876,0.891651759,0.028722053,0.109295357,0.969265469,0.854647119,0.986104553,0.084763478,0.215206352,0.480047829,0.332886008,0.553109277,0.214361354,0.164613116,0.598020737,0.053298444,0.102194532,0.082170196,0.391193268,0.393809961,0.606251301,0.150759108,0.919732043,0.952186415,0.134290613,15
acure_aircraft,u-bs714_ens,1,0.959595308,0.66000867,0.841059869,1,0.462674176,0.422956635,0.869457884,0.737095531,0.975102707,0.885604558,1,0.470566497,0.007042972,0.831089697,0.399462437,0.139826765,0.118282135,1,0.969067335,0.910354747,0.974238327,0.92069599,0.076920875,0.54094153,0.614037567,0.227439654,0.819132843,0.20997769,1,0.328583483,0.9125629,0.583344523,0.894081234,0.890364261,0.334440755,0.356100396,0.312145515,0.788907908,0.707294678,0.133915126,0.777119182,0.661330736,0.91218992,0.4792835,0.000695022,0.207458478,0.322615736,0.533024788,0.006501536,0.819487677,0.616277214,0.677596533,0.962366807,0.503852867,0.037895378,0.914961316,0.057145057,0.108926659,0.769481842,16
acure_aircraft,u-bs714_ens,1,0.486842539,0.888897385,0.745652101,1,0.392374426,0.022744835,0.679406741,0.555113544,0.76618592,0.99768283,1,0.251163379,0.36663121,0.993401553,0.858733966,0.869921775,0.135928418,1,0.034005296,0.551951738,0.453608744,0.048342922,0.279532123,0.064458697,0.00842557,0.077471265,0.535917354,0.867431196,1,0.595235755,0.723724831,0.565334697,0.035943121,0.288599913,0.785334753,0.641697977,0.998044821,0.009269473,0.907880152,0.373270915,0.187834831,0.781556886,0.085889472,0.011164936,0.854739229,0.815411616,0.938772896,0.988440253,0.464614623,0.961724126,0.06654615,0.556313622,0.257665589,0.68621932,0.751333391,0.594799872,0.199826364,0.582487442,0.049661364,17
acure_aircraft,u-bs714_ens,1,0.914363674,0.983117908,0.977561881,1,0.498684374,0.898020616,0.895514334,0.436036591,0.073465351,0.638980369,1,0.071364804,0.93422852,0.091914492,0.038051267,0.071284435,0.063395836,1,0.555691526,0.252879602,0.032087946,0.435243011,0.649996697,0.012944599,0.916685531,0.858410742,0.811101367,0.173998287,1,0.465991868,0.400745593,0.750209875,0.417107143,0.711123408,0.073376578,0.495608217,0.120279473,0.859575985,0.017450031,0.027914145,0.561260718,0.280524889,0.955334135,0.697963787,0.610249632,0.071529017,0.07140637,0.133553968,0.050830248,0.147105463,0.666245109,0.027865304,0.305816532,0.331602545,0.629143335,0.705109228,0.879654828,0.53348988,0.807752341,18
acure_aircraft,u-bs714_ens,1,0.630951662,0.043969831,0.162796279,1,0.118110515,0.087537273,0.090300895,0.872608519,0.486255061,0.166017454,1,0.277453821,0.130872003,0.382019153,0.714878546,0.002688583,0.652705935,1,0.733473078,0.801244428,0.955021852,0.970747719,0.724017201,0.966197663,0.014308121,0.372450252,0.350655651,0.680171961,1,0.455808091,0.917298564,0.306319291,0.733922878,0.885116094,0.494088332,0.497818951,0.866604976,0.595047468,0.964473338,0.721605144,0.018229712,0.508595718,0.580442291,0.484168661,0.136164056,0.666592163,0.609534596,0.285645023,0.920753151,0.2283295,0.032612676,0.084340279,0.870696132,0.357741708,0.073608083,0.117310636,0.203010884,0.111544051,0.027394169,19
