id,dataset,index,longitude
GOMu0.04_119,GOMu0.04/expt_90.1m000,119,-93.239990234375
GOMu0.04_120,GOMu0.04/expt_90.1m000,120,-93.20001220703125
GOMu0.04_121,GOMu0.04/expt_90.1m000,121,-93.1600341796875
GOMu0.04_122,GOMu0.04/expt_90.1m000,122,-93.1199951171875
GOMu0.04_123,GOMu0.04/expt_90.1m000,123,-93.08001708984375
GOMu0.04_124,GOMu0.04/expt_90.1m000,124,-93.03997802734375
GOMu0.04_125,GOMu0.04/expt_90.1m000,125,-93.0
GOMu0.04_126,GOMu0.04/expt_90.1m000,126,-92.96002197265625
GOMu0.04_127,GOMu0.04/expt_90.1m000,127,-92.91998291015625
GOMu0.04_128,GOMu0.04/expt_90.1m000,128,-92.8800048828125
GOMu0.04_129,GOMu0.04/expt_90.1m000,129,-92.8399658203125
GOMu0.04_130,GOMu0.04/expt_90.1m000,130,-92.79998779296875
GOMu0.04_131,GOMu0.04/expt_90.1m000,131,-92.760009765625
GOMu0.04_132,GOMu0.04/expt_90.1m000,132,-92.719970703125
GOMu0.04_133,GOMu0.04/expt_90.1m000,133,-92.67999267578125
GOMu0.04_134,GOMu0.04/expt_90.1m000,134,-92.6400146484375
GOMu0.04_135,GOMu0.04/expt_90.1m000,135,-92.5999755859375
GOMu0.04_136,GOMu0.04/expt_90.1m000,136,-92.55999755859375
GOMu0.04_137,GOMu0.04/expt_90.1m000,137,-92.52001953125
GOMu0.04_138,GOMu0.04/expt_90.1m000,138,-92.47998046875
GOMu0.04_139,GOMu0.04/expt_90.1m000,139,-92.44000244140625
GOMu0.04_140,GOMu0.04/expt_90.1m000,140,-92.4000244140625
GOMu0.04_141,GOMu0.04/expt_90.1m000,141,-92.3599853515625
GOMu0.04_142,GOMu0.04/expt_90.1m000,142,-92.32000732421875
GOMu0.04_143,GOMu0.04/expt_90.1m000,143,-92.280029296875
GOMu0.04_144,GOMu0.04/expt_90.1m000,144,-92.239990234375
GOMu0.04_145,GOMu0.04/expt_90.1m000,145,-92.20001220703125
GOMu0.04_146,GOMu0.04/expt_90.1m000,146,-92.1600341796875
GOMu0.04_147,GOMu0.04/expt_90.1m000,147,-92.1199951171875
GOMu0.04_148,GOMu0.04/expt_90.1m000,148,-92.08001708984375
GOMu0.04_149,GOMu0.04/expt_90.1m000,149,-92.03997802734375
GOMu0.04_150,GOMu0.04/expt_90.1m000,150,-92.0
GOMu0.04_151,GOMu0.04/expt_90.1m000,151,-91.96002197265625
GOMu0.04_152,GOMu0.04/expt_90.1m000,152,-91.91998291015625
GOMu0.04_153,GOMu0.04/expt_90.1m000,153,-91.8800048828125
GOMu0.04_154,GOMu0.04/expt_90.1m000,154,-91.8399658203125
GOMu0.04_155,GOMu0.04/expt_90.1m000,155,-91.79998779296875
GOMu0.04_156,GOMu0.04/expt_90.1m000,156,-91.760009765625
GOMu0.04_157,GOMu0.04/expt_90.1m000,157,-91.719970703125
GOMu0.04_158,GOMu0.04/expt_90.1m000,158,-91.67999267578125
GOMu0.04_159,GOMu0.04/expt_90.1m000,159,-91.6400146484375
GOMu0.04_160,GOMu0.04/expt_90.1m000,160,-91.5999755859375
GOMu0.04_161,GOMu0.04/expt_90.1m000,161,-91.55999755859375
GOMu0.04_162,GOMu0.04/expt_90.1m000,162,-91.52001953125
GOMu0.04_163,GOMu0.04/expt_90.1m000,163,-91.47998046875
GOMu0.04_164,GOMu0.04/expt_90.1m000,164,-91.44000244140625
GOMu0.04_165,GOMu0.04/expt_90.1m000,165,-91.4000244140625
GOMu0.04_166,GOMu0.04/expt_90.1m000,166,-91.3599853515625
GOMu0.04_167,GOMu0.04/expt_90.1m000,167,-91.32000732421875
GOMu0.04_168,GOMu0.04/expt_90.1m000,168,-91.280029296875
GOMu0.04_169,GOMu0.04/expt_90.1m000,169,-91.239990234375
GOMu0.04_170,GOMu0.04/expt_90.1m000,170,-91.20001220703125
GOMu0.04_171,GOMu0.04/expt_90.1m000,171,-91.1600341796875
GOMu0.04_172,GOMu0.04/expt_90.1m000,172,-91.1199951171875
GOMu0.04_173,GOMu0.04/expt_90.1m000,173,-91.08001708984375
GOMu0.04_174,GOMu0.04/expt_90.1m000,174,-91.03997802734375
GOMu0.04_175,GOMu0.04/expt_90.1m000,175,-91.0
GOMu0.04_176,GOMu0.04/expt_90.1m000,176,-90.96002197265625
GOMu0.04_177,GOMu0.04/expt_90.1m000,177,-90.91998291015625
GOMu0.04_178,GOMu0.04/expt_90.1m000,178,-90.8800048828125
